I play against you,Ich spiele gegen dich
She comes towards me,Sie kommt gegen mich
We eat around 6 p.m,Wir essen gegen 18 Uhr
She drinks tea without sugar,Sie trinkt Tee ohne Zucker
I go without you,Ich gehe ohne dich
I look through the window,Ich sehe durch das Fenster
She walks through the forest,Sie geht durch den Wald
The ball flies across the door,Der Ball fliegt durch die Tür
The gift is for you,Das Geschenk ist für dich
I pay 2 euros per ice cream,Ich bezahle 2 Euro für Eis
She runs around the house,Sie läuft um das Haus
I come at 7 am,Ich komme um 7 Uhr
I wait until 10 am,Ich warte bis 10 Uhr
I’ll write by tomorrow,Ich schreibe bis morgen
We walk up to the park,Wir laufen bis zum Park
We walk along the river,Wir gehen den Fluss entlang
We walk down the street,Wir gehen die Straße entlang.
I come from Germany,Ich komme aus Deutschland
The light comes out of the lamp,Das Licht kommt aus der Lampe
The gift is from my mother,Das Geschenk ist von meiner Mutter
The letter is written by Anna,Der Brief ist von Anna geschrieben
That’s my brother’s car,Das ist das Auto von meinem Bruder
I write with a pen,Ich schreibe mit einem Stift
She travels by bus,Sie reist mit dem Bus
We eat with friends,Wir essen mit Freunden
I work at Siemens,Ich arbeite bei Siemens
I am at my friend’s (place), Ich bin bei meinem Freund
I have my phone with me,Ich habe mein Handy bei mir
She lives with her parents,Sie wohnt bei ihren Eltern
I go to my mother,Ich gehe zu meiner Mutter
She is at home,Sie ist zu Hause
The knife is good for cutting,Das Messer ist gut zum Schneiden
We drive to Berlin,Wir fahren nach Berlin
After work I go to sleep,Nach der Arbeit gehe ich schlafen
I am going home,Ich gehe nach Hause
I’ve been tired since midnight,Ich bin müde seit Mitternacht
I’ve been waiting for an hour,Ich warte seit einer Stunde
i have been living in Berlin for 6 years,Ich lebe seit 6 Jahren in Berlin
The bank is opposite the supermarket,Die Bank ist gegenüber dem Supermarkt
Compared to my brother- I am tall,Gegenüber meinem Bruder bin ich groß
She eats everything except vegetables,Sie isst alles außer Gemüse
Besides dogs- I also love cats,Außer Hunden liebe ich auch Katzen
I eat every thing except Fish,Ich esse alles außer Fisch
I stand in front of the house,Ich stehe vor dem Haus
Before the game- we study,Vor dem Spiel lernen wir
Fear of spiders,Angst vor Spinnen
I ate an hour ago,Ich habe vor einer Stunde gegessen
We live in the forest,Wir wohnen in dem Wald
I run into the lake,Ich renne in den See
I am at school(inside the building),Ich bin in der Schule
She is good at swimming,Sie ist gut im Schwimmen
The picture is on the wall,Das Bild hängt an der Wand
I write a letter to my friend,Ich schreibe einen Brief an meinen Freund
At the weekend- I travel,An dem Wochenende reise ich
I think of you,Ich denke an dich
He is thinking about his childhood,Er denkt an seine Kindheit
The book is on the table,Das Buch ist auf dem Tisch
I put the book onto the table,Ich lege das Buch auf den Tisch
We are at the concert(inside the venue),Wir sind auf dem Konzert
I am waiting for the bus,Ich warte auf den Bus
I park the car behind the tree,Ich parke das Auto hinter dem Baum
The lamp hangs above the table,Die Lampe hängt über dem Tisch
The bridge is over the river,Die Brücke ist über dem Fluss
I study about animals,Ich lerne über Tiere
The child is under the table,Das Kind ist unter dem Tisch
She’s good among people,Sie ist gut unter Menschen
My phone lies next to the book,Mein Handy liegt neben dem Buch
I put my phone beside the book,Ich lege mein Handy neben das Buch
The cat sits between the chairs,Die Katze sitzt zwischen den Stühlen
