I am here,Ich bin hier
He sees me,Er sieht mich
He helps me,Er hilft mir
You are nice,Du bist nett
I see you,Ich sehe dich
I help you,Ich helfe dir
You(formal) are friendly,Sie sind freundlich
I understand you(formal),Ich verstehe Sie
I thank you(formal),Ich danke Ihnen
He is my father,Er ist mein Vater
I know him,Ich kenne ihn
I give him the book,Ich gebe ihm das Buch
She is my mother,Sie ist meine Mutter
I see her,Ich sehe sie
I thank her,Ich danke ihr
It is a book,Es ist ein Buch
I have it,Ich habe es
I give it milk,Ich gebe ihm Milch
We are students(college),Wir sind Studenten
He knows us,Er kennt uns
He helps us,Er hilft uns
You all are children,Ihr seid Kinder
I see you all,Ich sehe euch
I thank you all,Ich danke euch
You all(formal pl) are teachers,Sie sind Lehrer
I hear you all(formal pl),Ich höre Sie
I give you all(formal pl) the notebook,Ich gebe Ihnen das Notizbuch
They are my friends,Sie sind meine Freunde
I know them,Ich kenne sie
I help them,Ich helfe ihnen
My father is old,Mein Vater ist alt
My child is small,Mein Kind ist klein
My mother is nice,Meine Mutter ist nett
My parents are here,Meine Eltern sind hier
I see my father,Ich sehe meinen Vater
I see my child,Ich sehe mein Kind
I see my mother,Ich sehe meine Mutter
I see my parents,Ich sehe meine Eltern
I help my father,Ich helfe meinem Vater
I help my child,Ich helfe meinem Kind
I help my mother,Ich helfe meiner Mutter
I help my parents,Ich helfe meinen Eltern
Your brother is young,Dein Bruder ist jung
Your book is good,Dein Buch ist gut
Your sister is here,Deine Schwester ist hier
Your friends are nice,Deine Freunde sind nett
I know your brother,Ich kenne deinen Bruder
I read your book,Ich lese dein Buch
I see your sister,Ich sehe deine Schwester
I know your friends,Ich kenne deine Freunde
I thank your brother,Ich danke deinem Bruder
I give your child the apple,Ich gebe deinem Kind den Apfel
I help your sister,Ich helfe deiner Schwester
I thank your friends,Ich danke deinen Freunden
Your(formal) dog is big,Ihr Hund ist groß
Your(formal) car is new,Ihr Auto ist neu
Your(formal) cat is small,Ihre Katze ist klein
Your(formal) children are loud,Ihre Kinder sind laut
I see your(formal) dog,Ich sehe Ihren Hund
I buy your(formal) car,Ich kaufe Ihr Auto
I know your(formal) cat,Ich kenne Ihre Katze
I see your(formal) children,Ich sehe Ihre Kinder
I help your(formal) dog,Ich helfe Ihrem Hund
I give your(formal) child milk,Ich gebe Ihrem Kind Milch
I give your(formal) wife the book,Ich gebe Ihrer Frau das Buch
I help your(formal) children,Ich helfe Ihren Kindern
His table is clean,Sein Tisch ist sauber
His house is big,Sein Haus ist groß
His lamp is bright,Seine Lampe ist hell
His books are interesting,Seine Bücher sind interessant
I see his table,Ich sehe seinen Tisch
I buy his house,Ich kaufe sein Haus
I know his school,Ich kenne seine Schule
I read his books(pl),Ich lese seine Bücher
I help his father,Ich helfe seinem Vater
I give his child milk,Ich gebe seinem Kind Milch
I thank his mother,Ich danke seiner Mutter
I help his parents,Ich helfe seinen Eltern
Her apple is red,Ihr Apfel ist rot
Her bread is fresh,Ihr Brot ist frisch
Her bag is heavy,Ihre Tasche ist schwer
Her dogs are fast,Ihre Hunde sind schnell
I eat her apple,Ich esse ihren Apfel
I buy her(possessiv) bread,Ich kaufe ihr Brot
I see her bag,Ich sehe ihre Tasche
I know her dogs,Ich kenne ihre Hunde
I give her brother the apple,Ich gebe ihrem Bruder den Apfel
I help her child,Ich helfe ihrem Kind
I thank her mother,Ich danke ihrer Mutter
I give her(possessiv) dogs food,Ich gebe ihren Hunden Futter
Its father is tall,Sein Vater ist groß
Its toy is new,Sein Spielzeug ist neu
Its mother is nice,Seine Mutter ist nett
Its parents are here,Seine Eltern sind hier
I see its father,Ich sehe seinen Vater
I buy its toy,Ich kaufe sein Spielzeug
I know its mother,Ich kenne seine Mutter
I see its parents,Ich sehe seine Eltern
I help its father,Ich helfe seinem Vater
I give its mother the book,Ich gebe seiner Mutter das Buch
I thank its mother,Ich danke seiner Mutter
I help its parents,Ich helfe seinen Eltern
Our teacher is good,Unser Lehrer ist gut
Our child is small,Unser Kind ist klein
Our teacher (f) is nice,Unsere Lehrerin ist nett
Our students are smart,Unsere Schüler sind klug
We hear our teacher,Wir hören unseren Lehrer
We see our child,Wir sehen unser Kind
We know our teacher (f),Wir kennen unsere Lehrerin
We see our students,Wir sehen unsere Schüler
We thank our teacher,Wir danken unserem Lehrer
We help our child,Wir helfen unserem Kind
We give our teacher (f) the book,Wir geben unserer Lehrerin das Buch
We help our students(school),Wir helfen unseren Schülern
Your(pl) uncle is nice,Euer Onkel ist nett
Your(pl) room is clean,Euer Zimmer ist sauber
Your(pl) aunt is here,Eure Tante ist hier
Your(pl) cousins are young,Eure Cousins sind jung
I see your(pl) uncle,Ich sehe euren Onkel
